[[[[[[[Jean-Daniel ZUCKER]]]]]]];ABSTRACTION;ALGORITHMIC;ARTIFICIAL INTELLIGENCE;AUTOMATIC LEARNING;BIOINFORMATICS;BIOLOGY (COMPUTATIONAL);CLINICAL RESEARCH;COMPLEX SYSTEM;COMPUTER SCIENCE;DATA MINING;DATA PROCESSING;DECISION SUPPORT TOOL;DENGUE FEVER;DNA MICROARRAY;ENVIRONMENTAL SECURITY;EPIDEMIOLOGY;EXPLAINABLE AI;FLOOD (FR: INONDATION);GAMA PLATFORM;INFLUENZA;MACHINE;DEEP LEARNING;MACHINE LEARNING (STRUCTURAL);MEDICAL INFORMATICS;METADATA;METAGENOMICS;MICROBIOME;MODEL (AGENT-BASED);MODEL (INDIVIDUAL-BASED);MODEL (NUMERICAL);MODEL (OPERATIONAL);MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (COMPLEX SYSTEM);MODELLING (EPIDEMICS);MODELLING (MATHEMATICAL);MODELLING (MULTI-SCALE);MODELLING (PREDICTIVE);MULTI-SCALE (TEMPORAL AND FUNCTIONAL);MULTIDISCIPLINARY;NATURAL HAZARD;NGS (NEXT GENERATION SEQUENCING);NUTRIGENOMICS;NUTRITION;OBESITY;ONTOLOGY;POPULATION EVACUATION;PRECISION MEDICINE;RISK (ENVIRONMENTAL);RISK ASSESSMENT;SDG 03 (SUST. DEVEL. GOAL - HEALTHY LIVES AND WELL-BEING);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 11 (SUST. DEVEL. GOAL - CITIES);SIMULATION;SIMULATION (CITIES);SOUTH-EAST ASIA;SPATIAL DYNAMICS;SYMBOLIC LEARNING;TRAINING (FR: FORMATION);TRANSCRIPTOMICS;TROPICAL ENDEMICS;TSUNAMI;UMI UMMISCO (MATH. COMPUT. MODEL. COMPLEX SYST.);VACCINATION;VIETNAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Alexis DROGOUL]]]]]]];ABSTRACTION;ARTIFICIAL INTELLIGENCE;BIOLOGICAL INVASION;CAPACITY BUILDING;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;COLLECTIVE BEHAVIOUR;COMPLEX SYSTEM;COMPLEXITY SCIENCE;COMPUTATIONAL INTELLIGENCE;COMPUTATIONAL SOCIOLOGY;COMPUTATIONAL SUSTAINABILITY;COMPUTER GRAPHICS;COMPUTER SCIENCE;CONCURRENT COMPUTING;DATA ANALYSIS;DATA ASSIMILATION;DATA COLLECTION;DATA DRIVEN APPROACH;DATA VISUALIZATION;DECISION SUPPORT TOOL;DENGUE FEVER;DEVELOPMENT (SOFTWARE ARCHITECTURE);DOWNSCALING (MODELLING);DYNAMICAL SYSTEM;EDUCATIONAL GAME;EXTREME EVENT;FLOOD (FR: CRUE OU INONDATION);GAMA PLATFORM;GEOGRAPHIC INFORMATION SCIENCE;GEOMATICS;GIS (GEOGR. INFORM. SYS.);HIGH PERFORMANCE COMPUTING (HPC);HUMAN SUBJECTS PROTECTION;INFORMATION TECHNOLOGY (IT);INTEGRATIVE APPROACH;IT PROJECT MANAGEMENT;KNOWLEDGE REPRESENTATION;LAND USE;MEKONG RIVER;MODEL (AGENT-BASED);MODEL (AGRO-HYDROLOGICAL);MODEL (HYBRID);MODEL (INDIVIDUAL-BASED);MODEL (NUMERICAL);MODEL (OPERATIONAL);MODEL (PREDATOR-PREY);MODEL (SPATIALLY EXPLICIT);MODEL COUPLING;MODEL DEM (DIGITAL ELEVATION MODEL);MODELLING;MODELLING (AGENT-BASED AND OR INDIVIDUAL-BASED);MODELLING (BEHAVIOUR);MODELLING (CALIBRATION);MODELLING (CO-);MODELLING (COMPANION);MODELLING (COMPLEX SYSTEM);MODELLING (CONCEPTUAL);MODELLING (EPIDEMICS);MODELLING (HUMAN-IN-THE-LOOP);MODELLING (INTEGRATED);MODELLING (INTERDISCIPLINARY);MODELLING (MATHEMATICAL);MODELLING (MULTI-SCALE);MODELLING (PREDICTIVE);MODELLING (VALIDATION);MONITORING (ENVIRONMENTAL);MONITORING (SOCIO-ENVIRONMENTAL);MULTI-AGENT SYSTEM;MULTI-MODEL COUPLING (MMC);MULTI-SCALE (FUNCTIONAL);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTI-SCALE (SPATIAL);MULTI-SCALE (TEMPORAL AND FUNCTIONAL);MULTIDISCIPLINARY;NATURAL HAZARD;OBSERVATORY;OPEN SCIENCE;OPEN SOURCE;OPERATIONAL RESEARCH;PARALLEL AND DISTRIBUTED COMPUTING;PARTICIPATORY MAPPING;POPULATION DYNAMICS;POPULATION EVACUATION;RISK (ENVIRONMENTAL);RISK ASSESSMENT;RIVER;SCI. ADMINISTRATION AND MANAGEMENT;SDG 03 (SUST. DEVEL. GOAL - HEALTH AND WELL-BEING);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 11 (SUST. DEVEL. GOAL - CITIES);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SDG 16 (SUST. DEVEL. GOAL - SOCIETY);SERIOUS GAME;SIMULATION;SIMULATION (CITIES);SIMULATION (SOCIAL);SOCIAL INSECTS;SOCIO-ECOLOGICAL SCENARIO;SOCIO-ECOSYSTEM;SOFTWARE ENGINEERING;SOUTH-EAST ASIA;SPATIAL ANALYSIS;SPATIAL DYNAMICS;SUSTAINABILITY SCIENCE;SUSTAINABLE MANAGEMENT;SYSTEMIC APPROACH;SYSTEMS SCIENCE;TEACHING IN COMPUTER SCIENCE;TRAINING (FR: FORMATION);UMI UMMISCO (MATH. COMPUT. MODEL. COMPLEX SYST.);URBAN COMPUTING;VIETNAM;VIRTUAL REALITY;;;;;;;;;;;;;;;;;;
[[[[[[[Cécile DUPOUY]]]]]]];ABSTRACTION;ALGORITHMICS;ARCHIPELAGO;ATMOSPHERE;BIOCHEMISTRY;BIOMASS (OCEAN);CAPACITY BUILDING;CARBON CYCLE;CARTOGRAPHY AND MAPPING;CHLOROPHYLL;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;CLIMATE-SOCIETY INTERACTION;COASTAL PROCESSES;COLORED DISSOLVED ORGANIC MATTER (CDOM);COMPUTER SCIENCE;CORAL REEF;CYANOBACTERIA;DATA (OPTICAL);DATA (SATELLITE);DATA ANALYSIS;DATA PROCESSING;DATABASE ENGINEERING;DIAZOTROPHY (NITROGEN FIXATION);ECOLOGY (MARINE);ECOSYSTEM (LAGOON OR REEF);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ENVIRONMENT (ISLAND);ENVIRONMENT (MARINE);FIJI ISLANDS;IMAGE PROCESSING;INDICATOR (BIOLOGICAL);INTEGRATIVE APPROACH;ISLAND COUNTRY;LAGOON;MULTI-SPECTRAL IMAGE;NEW CALEDONIA;OBSERVATORY;OCEAN WATER COLOUR;OCEANOGRAPHY (BIOLOGICAL);ORGANIC MATTER;PLANKTON;PLANKTON (PHYTO);PLANKTONIC BLOOM (FR: EFFLORESCENCE);REMOTE SENSING;RESEARCH CRUISE;SATELLITE PRODUCT;SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SOUTH WESTERN TROPICAL PACIFIC OCEAN;SPATIAL ANALYSIS;SPECTRO-FLUORESCENCE;SPECTROFLUORIMETRY;STATISTICS (SPATIAL);TRICHODESMIUM (CYANOBACTERIA);TURBIDITY;UMR MIO (MEDITER. INST. OCEANOGR.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Manuela CAPELLO]]]]]]];ACOUSTICS (ACTIVE);ACOUSTICS (PASSIVE);AGGREGATION (SPATIAL);ALGORITHMICS;ANIMAL COMMUNITY;ARTIFICIAL INTELLIGENCE;ARTIFICIAL NEURAL NETWORK;ARTISANAL FISHERY;ATLANTIC OCEAN (INTERTROPICAL);BEHAVIOUR (FISH);BEHAVIOUR (FISHERMEN);BIODIVERSITY;BIODIVERSITY (ANTHROPOGENIC INFLUENCE);BIODIVERSITY (CONSERVATION);BIODIVERSITY (HOTSPOT);BIODIVERSITY (MARINE);BIOLOGY (COMPUTATIONAL);BIOLOGY (MARINE);BIOMASS (OCEAN);BIOSTATISTICS;BYCATCH AND DISCARD (FISHERIES);CAPACITY BUILDING;CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CHLOROPHYLL;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;COLLECTIVE BEHAVIOUR;COMPLEX SYSTEM;COMPUTER SCIENCE;CONSERVATION BIOLOGY;DATA (ACOUSTICS);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (FISHERIES);DATA (MULTISOURCE);DATA (QUALITATIVE);DATA (SATELLITE);DATA ANALYSIS;DATA ASSIMILATION;DATA COLLECTION;DATA CURATION;DATA DISSEMINATION;DATA DRIVEN APPROACH;DATA HETEROGENEITY;DATA INTEGRATION;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA MANAGEMENT PLAN;DATA MINING;DATA POOR CONTEXT;DATA PREPROCESSING;DATA PROCESSING;DATA QUALITY ASSESSMENT;DATA REANALYSIS;DATA SCIENCE;DATA SHARING;DECISION SUPPORT TOOL;DIFFERENTIAL EQUATION;DYNAMICAL SYSTEM;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOLOGY (QUANTITATIVE);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM SERVICE;ELASMOBRANCHII (SHARKS AND RAYS);ELECTRONIC TAGGING;ENDANGERED, THREATENED, PROTECTED SPECIES (ETP);ENVIRONMENT (MARINE);EXPERIMENTAL VALIDATION;EXPERTISE (SCIENTIFIC);FAD (FISH AGGREGATING DEVICE);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);GLOBAL CHANGE IMPACT;HABITAT (MARINE);IMPACT ASSESMENT (FISHERIES);INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);INDICATOR (SOCIO-ENVIRONMENTAL);INDONESIA;IVORY COAST;MACHINE - DEEP LEARNING;MALDIVES;MITIGATION MEASURE;MODEL (AGENT-BASED);MODEL (INDIVIDUAL-BASED);MODEL (MATHEMATICAL);MODEL (NUMERICAL);MODEL (OPERATIONAL);MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (BEHAVIOUR);MODELLING (COMPLEX SYSTEM);MODELLING (ECOLOGICAL);MODELLING (HABITAT, ECOLOGY);MODELLING (STOCHASTIC PROCESSES);MOZAMBIQUE CHANNEL;MULTI-AGENT SYSTEM;MULTI-SCALE (SPATIAL AND TEMPORAL);NATURAL RESOURCE MANAGEMENT;NON LINEAR DYNAMICS;OBSERVERS PROGRAM (FISHERIES);PELAGIC FISH;POPULATION DYNAMICS;PURSE SEINE FISHERY;QUANTUM MECHANICS;R PROGRAMMING;RANDOM DECISION FOREST;REMOTE SENSING;RFMO (REGIONAL FISHERIES MANAGEMENT ORGANISATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SELECTIVITY (FISHING GEAR);SIMULATION;SIMULATION (MONTE-CARLO);SOUTH WESTERN INDIAN OCEAN;SOUTH-EAST ASIA;SPATIAL DYNAMICS;STATISTICAL MECHANICS;STOCK ASSESSMENT;SUSTAINABILITY (FISHERIES);SUSTAINABILITY SCIENCE;SUSTAINABLE MANAGEMENT;TUNA FISHERIES;ULTRASONIC TELEMETRY;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);VULNERABILITY
[[[[[[[Pascal BACH]]]]]]];ACOUSTICS (ACTIVE);ACOUSTICS (PASSIVE);ANIMAL COMMUNITY;ARTISANAL FISHERY;ATLANTIC OCEAN (INTERTROPICAL);BAIT (FISHING);BEHAVIOUR (FISH);BIOMETRICS;BIOSTATISTICS;BYCATCH AND DISCARD (FISHERIES);CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CENTRAL SOUTH PACIFIC OCEAN;CONSERVATION BIOLOGY;DATA (FISHERIES);DATA COLLECTION;DATA POOR CONTEXT;DEPREDATION (FISH CATCH);DIEL MIGRATION (MAR. BIOL.);EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGICAL RISK ASSESSMENT (ERA);ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (LAGOON);ECOLOGY (MARINE);ECOSYSTEM (COASTAL);ECOSYSTEM (TROPICAL PELAGIC);ELASMOBRANCHII (SHARKS AND RAYS);ELECTRONIC TAGGING;ENDANGERED, THREATENED, PROTECTED SPECIES (ETP);ETANG DE THAU LAGOON (FRANCE);EXPERIMENTAL DEVICE;FAD (FISH AGGREGATING DEVICE);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHING GEAR TECHNOLOGY;FRENCH POLYNESIA;HABITAT (FISH);IMPACT ASSESMENT (FISHERIES);INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);LIFE HISTORY TRAIT;MADAGASCAR;MARINE MEGAFAUNA;MAYOTTE;MITIGATION MEASURE;MODEL GAM (GENERAL ADDITIVE MODEL);MODEL GLM (GENERAL LINEARIZED MODEL);MODELLING;MODELLING (INFERENTIAL);MODELLING (STATISTICAL);MONITORING (ENVIRONMENTAL);MONITORING (STATISTICAL);MOZAMBIQUE CHANNEL;OBSERVATORY;OBSERVERS PROGRAM (FISHERIES);ODONTOCETI (TOOTHED WHALES);PATENT FILING;PELAGIC FISH;PELAGIC LONG LINE FISHERY;RESEARCH CRUISE;RFMO (REGIONAL FISHERIES MANAGEMENT ORGANISATION);RISK ASSESSMENT;SCIENTIFIC EXPERTISE;SCLEROCHRONOLOGY (FISH AGEING);SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SEAMOUNT;SELECTIVITY (FISHING GEAR);SEYCHELLES;SOUTH WESTERN INDIAN OCEAN;THE REUNION ISLAND;TRAINING (FR: FORMATION);TUNA FISHERIES;ULTRASONIC TELEMETRY;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);VULNERABILITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Nicolas BEZ]]]]]]];ACOUSTICS (ACTIVE);AGGREGATION (SPATIAL);ANIMAL COMMUNITY;ATLANTIC OCEAN;BEHAVIOUR (FISHERMEN);BIODIVERSITY;BIOGEOGRAPHY;BIOSTATISTICS;CARTOGRAPHY AND MAPPING;CLASSIFICATION - TYPOLOGY;COLLECTIVE BEHAVIOUR;DATA (ACOUSTICS);DATA (FISHERIES);DATA (GEOREFERENCED);DATA (QUALITATIVE);DATA ANALYSIS;DATA DRIVEN APPROACH;DEMERSAL FISH SPECIES;DISCRETIZATION;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECHO-INTEGRATION;ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOLOGY (NICHE);ECOLOGY (QUANTITATIVE);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ECOSYSTEM PROCESSES;EXPERTISE (SCIENTIFIC);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHING STRATEGY ANALYSIS;FORAGE TRACKING;GEOSTATISTICS;GLOBAL OCEAN;GRAPH THEORY;INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (DASHBOARD);INTERPOLATION;INVERSE PROBLEM;MATHEMATICS;MEDITERRANEAN SEA;MODEL (MATHEMATICAL);MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (BAYESIAN);MODELLING (HABITAT, ECOLOGY);MODELLING (INFERENTIAL);MODELLING (PREDICTIVE);MODELLING (STATISTICAL);MODELLING (STOCHASTIC PROCESSES);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;MULTIVARIATE DATA ANALYSIS (MVA);NONPARAMETRIC STATISTICS;PELAGIC FISH;POPULATION DYNAMICS;PROBABILITY DISTRIBUTION;PROBABILITY THEORY;R PROGRAMMING;REMOTE SENSING;RENEWABLE RESOURCE;RISK ASSESSMENT;SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SFDS (FRENCH SOC. STATISTICS);SIMULATION;SIMULATION (MONTE-CARLO);SPATIAL ANALYSIS;SPATIAL DYNAMICS;STATISTICS;STATISTICS (SPATIAL);STOCK ASSESSMENT;TIME SERIES;TRAINING (FR: FORMATION);TUNA FISHERIES;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Patrice BREHMER]]]]]]];ACOUSTICS (ACTIVE);ANTHROPOGENIC IMPACT;ARTISANAL FISHERY;ATLANTIC OCEAN (INTERTROPICAL);BEHAVIOUR (FISH);BIOGEOGRAPHY;BIOLOGY (MARINE);BIOMASS (OCEAN);BISSAU GUINEA;CAPACITY BUILDING;CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;CLIMATE-SOCIETY INTERACTION;COASTAL PROCESSES;DATA (ACOUSTICS);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (FISHERIES);DATA (MULTISOURCE);DATA (OPTICAL);DATA (SATELLITE);DATA COLLECTION;DATA MANAGEMENT;DATA POOR CONTEXT;DIEL MIGRATION (MAR. BIOL.);DOMESTICATION;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECHO-INTEGRATION;ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOSYSTEM (AQUATIC);ECOSYSTEM (COASTAL);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ECOSYSTEM PROCESSES;ENVIRONMENT (MARINE);ESTUARY;FAD (FISH AGGREGATING DEVICE);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHERMEN COMMUNITY;FISHES;GOVERNANCE;HABITAT (MARINE);IMAGE PROCESSING;IMPACT ASSESMENT (FISHERIES);INDICATOR (ENVIRONMENTAL);INTEGRATIVE APPROACH;MARINE PROTECTED AREA (MPA);MAURITANIA ISLAMIC REP.;MODELLING (CONCEPTUAL);MONITORING (ENVIRONMENTAL);MONITORING (SOCIO-ENVIRONMENTAL);MULTIBEAM SONAR DETECTION;MULTIDISCIPLINARY;OBSERVATORY;OBSERVERS PROGRAM (FISHERIES);OCEANOGRAPHY (BIOLOGICAL);PELAGIC FISH;PLANKTONIC BLOOM (FR: EFFLORESCENCE);POPULATION DYNAMICS;REMOTE SENSING;SDG 01 (SUST. DEVEL. GOAL - POVERTY);SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SENEGAL;SOCIO-ECOSYSTEM;SUSTAINABILITY (FISHERIES);SUSTAINABILITY SCIENCE;UMR LEMAR (MAR. ENVIRON. SCI. LAB.);UPWELLING;WATER QUALITY;WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Anne LEBOURGES-DHAUSSY]]]]]]];ACOUSTICS (ACTIVE);ATLANTIC OCEAN;BIOCOENOSIS;BIODIVERSITY (MARINE);BRAZIL;CLASSIFICATION;DATA (ACOUSTICS);DATA PROCESSING;DIEL MIGRATION (MAR. BIOL.);ECHO-INTEGRATION;ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM PROCESSES;ENVIRONMENT (MARINE);ESTUARY;FISHERIES ACOUSTICS;INDIAN OCEAN;LAKE;MARINE PROTECTED AREA (MPA);MICRONEKTON (MARINE ORG.);MONITORING (ENVIRONMENTAL);MOZAMBIQUE CHANNEL;MULTI-SCALE (SPATIAL);MULTI-SENSOR APPROACH;MULTIBEAM SONAR DETECTION;NEKTON (MARINE ORG.);NEW CALEDONIA;NORDESTE (BRAZIL);OCEANOGRAPHY;OCEANOGRAPHY (BIOLOGICAL);PELAGIC FISH;PLANKTON;PLANKTON (ZOO);RESEARCH CRUISE;SCATTERING;SCI. ADMINISTRATION AND MANAGEMENT;SDG 14 (SUST. DEVEL. GOAL - OCEANS);SEAMOUNT;SENEGAL;SONAR;SPATIAL DYNAMICS;TRAINING (FR: FORMATION);UMR LEMAR (MAR. ENVIRON. SCI. LAB.);UPWELLING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Marie-Paule BONNET]]]]]]];ADAPTIVE MANAGEMENT;ALTIPLANO (BOLIVIA);AMAZON PLAIN;AMAZON RIVER;BIODIVERSITY;BIOGEOCHEMISTRY;BISSAU GUINEA;BRAZIL;CARBON CYCLE;CLIMATE ADAPTATION;COLLECTIVE LEARNING;CONSERVATION PLANNING;CONSTRAINT PROGRAMMING;CONTROL AND PREVENTION STRATEGY;DAM (HYDROLOGY);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (SATELLITE);DATA HETEROGENEITY;DECISION SUPPORT TOOL;ECOSYSTEM (AQUATIC);ENVIRONMENT-SOCIETY RELATIONS;FLOOD (FR: CRUE/INONDATION);FLOODPLAIN;FORECASTING;GEOMATICS;GIS (GEOGR. INFORM. SYS.);GLOBAL CHANGE IMPACT;HYDROLOGICAL BASIN;HYDROLOGICAL MONITORING SYSTEM;HYDROLOGY;HYDROSYSTEM;INDICATOR (SOCIO-ENVIRONMENTAL);LAKE;LIMNOLOGY;MODEL (AGENT-BASED);MODEL (HYBRID);MODEL (NUMERICAL);MODEL DEM (DIGITAL ELEVATION MODEL);MODELLING;MODELLING (COMPANION);MODELLING (CONCEPTUAL);MODELLING (HYDRODYNAMICS);MONITORING (HYDROLOGY);MONITORING (SOCIO-ENVIRONMENTAL);MULTI-AGENT SYSTEM;MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;NATURAL RESOURCE MANAGEMENT;PARTICIPATORY MAPPING;PLANKTON;PLANKTON (PHYTO);RADAR ALTIMETRY;REMOTE SENSING;RENEWABLE RESOURCE;RESOURCE USE;SCI. ADMINISTRATION AND MANAGEMENT;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 06 (SUST. DEVEL. GOAL - WATER AND SANITATION);SDG 10 (SUST. DEVEL. GOAL - WORLD EQUITY);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SIMULATION (WATER FLOW);SUSTAINABILITY SCIENCE;SUSTAINABLE MANAGEMENT;UMR ESPACE-DEV (SPACE FOR DEVEL.);WATER RESOURCES;WATERSHED (FR: BASSIN VERSANT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Jean LE FUR]]]]]]];ADAPTIVE MANAGEMENT;ANIMAL COMMUNITY;ARID OR SEMI-ARID ZONE;ARTISANAL FISHERY;ATLANTIC OCEAN;ATLANTIC OCEAN (INTERTROPICAL);BEHAVIOUR (FISH);BEHAVIOUR (FISHERMEN);BIOINFORMATICS;BIOLOGICAL INVASION;BIOLOGY (COMPUTATIONAL);CLASSIFICATION - TYPOLOGY;COLLECTIVE BEHAVIOUR;COMPARATIVE APPROACH;COMPLEX SYSTEM;COMPUTER SCIENCE;DATABASE ENGINEERING;DEMERSAL FISH SPECIES;DETERMINISTIC APPROACH;DYNAMICAL SYSTEM;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGY (FISHERIES);ECOLOGY (LANDSCAPE);ECOLOGY (MARINE);ECOLOGY (QUANTITATIVE);ECOLOGY (TERRESTRIAL);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ECOSYSTEM PROCESSES;ENVIRONMENT;ENVIRONMENT (MARINE);EPIDEMIOLOGY;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHERMEN COMMUNITY;GUINEA REP.;INDICATOR (BIOLOGICAL);INFORMATION PROCESSING;INFORMATION SYSTEM;INTEGRATIVE APPROACH;KNOWLEDGE REPRESENTATION;LANDCOVER;LANDSCAPE;MODEL (AGENT-BASED);MODEL (END-TO-END);MODEL (NESTED);MODEL (NUMERICAL);MODEL (SPATIALLY EXPLICIT);MODEL COUPLING;MODELLING;MODELLING (BEHAVIOUR);MODELLING (COMPLEX SYSTEM);MODELLING (ECOLOGICAL);MODELLING (EPIDEMICS);MODELLING (HABITAT/ECOLOGY);MODELLING (INTEGRATED);MODELLING (INTERDISCIPLINARY);MODELLING (MULTI-SCALE);MODELLING (VALIDATION);MULTI-AGENT SYSTEM;MULTI-SCALE (FUNCTIONAL);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTI-SCALE (SPATIAL);MULTI-SCALE (TEMPORAL AND FUNCTIONAL);MULTIDISCIPLINARY;MYOMORPHA (MICE, RATS,ETC.);NON LINEAR DYNAMICS;OBSERVATORY;ONEHEALTH - ECOHEALTH;OPEN SOURCE;PELAGIC FISH;POPULATION DYNAMICS;QUALITY ASSURANCE (ISO 9001 STANDARD);RENEWABLE RESOURCE;RESOURCE USE;SAHEL;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SENEGAL;SIMULATION;SIMULATION (SOCIAL);SOCIO-ECOLOGICAL SCENARIO;SOFTWARE ENGINEERING;SUSTAINABILITY (FISHERIES);SYSTEMIC APPROACH;SYSTEMS SCIENCE;TRAINING (FR: FORMATION);UMR CBGP (BIOL. MANAG. POP.);UMR ENTROPIE (TROPIC. MAR. ECOL. PACIFIC INDIAN OCEANS);UPWELLING;WEB PORTAL DEVEL.;WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
