;DATA (SATELLITE);DATA ANALYSIS;DATA PROCESSING;DECISION SUPPORT TOOL;GEOMATICS;GIS (GEOGR. INFORM. SYS.);INDICATOR (ENVIRONMENTAL);MODELLING;MULTIDISCIPLINARY;MULTI-SCALE (SPATIAL);OBSERVATORY;REMOTE SENSING;SDG 13 (SUST. DEVEL. GOAL - CLIMATE);TRAINING (FR: FORMATION);UMR ESPACE-DEV (SPACE FOR DEVEL.);WATER RESOURCES
DATA (SATELLITE);;5;5;6;6;5;6;5;6;5;;7;6;5;7;
GEOMATICS;;;;;;6;6;5;6;6;;7;8;5;8;
CARTOGRAPHY AND MAPPING;5;;;;5;;6;;;5;;5;5;;6;
DATA PROCESSING;;;;;5;;5;;5;;;6;5;5;6;
INDICATOR (ENVIRONMENTAL);;;;;;;;;5;5;;6;6;5;7;
DECISION SUPPORT TOOL;;;;;5;;5;;5;;;6;5;;6;
MULTIDISCIPLINARY;;;;;;;;;;;5;7;6;5;8;
GIS (GEOGR. INFORM. SYS.);;;;;;;;5;6;;;6;6;;6;
MODELLING;;;;;;;;;7;;;7;5;;8;
BRAZIL;5;;;;5;;;;;;;6;5;;6;
REMOTE SENSING;;;;;;;;;;;;;7;6;9;
DATA MANAGEMENT;;;;;;;;;5;;;5;;5;5;
DATA ANALYSIS;;;5;;;;5;;;;;5;;;5;
MULTI-SCALE (SPATIAL);;;;;;;;;;;;5;6;;6;
CLIMATE CHANGE IMPACTS;;;;;5;;;;;;;;5;;6;
SDG 13 (SUST. DEVEL. GOAL - CLIMATE);;;;;;;;;;;;;;5;8;
HYDROLOGY;;;;;;;;;;;;;;;5;5
TRAINING (FR: FORMATION);;;;;;;;;;;;;;;6;
UMR ESPACE-DEV (SPACE FOR DEVEL.);;;;;;;;;;;;;;;;5
OBSERVATORY;;;;;;;;;;;;;;;5;
